id;name;region;city;address;website;phone;fax;email;director;legal_form;source_url
1;Санаторий «Москва»;Краснодарский край;Сочи;354002, Краснодарский край, г. Сочи, ул. Депутатская, 10;;+7 (8622) 62-25-10, 62-31-01;92-32-82;sanmoscow2004@mail.ru;Берлизов Петр Витальевич;ЗАО;https://sanatoria.ru/san.php?org=1
2;Санаторно-оздоровительный центр «Карачарово»;Тверская область;;171283, Тверская область, Конаковский р-н, п/о Карачарово, д. Карачарово;http://karacharovotver.ru/;+7 (48242) 6-86-19, 6-87-38, (4822) 35-38-42, (4822) 45-60-10;(48242) 4-30-77;karacharovo@mail.ru;Кутузов Павел Андреевич;ЗАО;https://sanatoria.ru/san.php?org=2
3;Чебаркульский военный санаторий;Челябинская область;Чебаркуль;456440, Челябинская область, г. Чебаркуль;http://sanatoriy.chebarkulskiy.ru/;+7 (35168) 6-23-37, 6-22-94;+7 (35168) 6-23-37;sanatory.chebarkulski@mail.ru;;федеральное государственное бюджетное учреждение;https://sanatoria.ru/san.php?org=3
4;Лечебно-реабилитационный клинический центр «Юдино»;;;143081, Московская обл., Одинцовский р-н, Юдино с., ул. Красная, 23;http://udino.nmicrk.ru/;+7 (495) 926-11-96, +7 (495) 598-83-54;598-83-54, 203-86-50;rkmrik@mail.ru;Полунин Алексей Андреевич;федеральное государственное бюджетное учреждение;https://sanatoria.ru/san.php?org=4
5;Санаторий «Маяк»;Краснодарский край;Анапа;353440, Краснодарский край, г. Анапа, ул. Кирова, 2;http://mayak-anapa.ru/;+7 (86133) 4-35-11, 5-81-62;4-35-11;anapamayak@mail.ru;Сурков Сергей Геннадьевич;ЗАО;https://sanatoria.ru/san.php?org=5
6;Санаторий «Лаба»;Краснодарский край;Лабинск;352500, Краснодарский край, г. Лабинск, ул. Водоисточная, 1;http://san-lab.ru/;+7 (800) 555-13-20, +7(86169)6-02-75, +7(86169)6-03-05;;market@san-lab.ru;Шахматов Анатолий Иванович;открытое акционерное общество;https://sanatoria.ru/san.php?org=6
7;Клинический санаторий Главмосстроя «Валуево»;;;142780, Московская обл., Ленинский р-н, пос. Валуево;http://www.valuevo.ru/;+7 (495) 436-67-01, 436-82-89;436-60-09;valuevo@mail.ru;Топоркова Елена Михайловна;ОАО;https://sanatoria.ru/san.php?org=7
8;Пансионат с лечением «Нива»;Краснодарский край;Анапа;353440, Россия, Краснодарский край, г. Анапа, ул. Крымская, 22;http://www.niva1.inc.ru/;+7 (86133) 5-01-28, 5-82-52, 5-62-17;5-01-28;niva1@mail.ru;Макаренко Александр Алексеевич;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=8
9;Пансионат с лечением «Приморский»;Краснодарский край;;353480, Краснодарский край, Геленджикский р-н, пос. Кабардинка, ул. Мира, 5;;+7 (86141) 65-6-72;65-2-86;;Озеров Андрей Валерьевич;ООО;https://sanatoria.ru/san.php?org=9
10;Санаторий «Тогучинский»;;Тогучин;633456, Новосибирская обл., г. Тогучин, ул. Заводская, 142;;+7 (38340) 22-982, 22-284;22-282;togsan@bk.ru;Кирикова Галина Михайловна;ОАО;https://sanatoria.ru/san.php?org=10
11;Санаторий «Авитек»;;Киров;610011, г. Киров, Северная Набережная, д. 3;http://medavitek.ru/;+7 (8332) 24-58-59, 24-58-69;24-58-61;medavitek@mail.ru;;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=11
12;Центральный военный клинический санаторий «Сочи» им. Я. Фабрициуса;Краснодарский край;Сочи;354002, Краснодарский край, г. Сочи, Курортый пр., 85;;+7 (8622) 92-76-45, 99-42-96;92-52-50;VoenSan@Sochi.ru;;ГУ;https://sanatoria.ru/san.php?org=12
13;Санаторий «Лесное озеро»;Московская область;;141590, Московская область, Солнечногорский р-он, поселок «Лесное озеро»;http://www.fa.ru/org/div/uok/Pages/About.aspx;+7 (495) 249-52-88, +7(496)266-58-50​;;lesnoeozero@fa.ru;Новиков Вячеслав Иванович;ОАО;https://sanatoria.ru/san.php?org=13
14;Шмаковский военный санаторий;Приморский край;;692086, Приморский край, Кировский район, п. Горные ключи, ул. Санаторная, 2;;+7 (42354) 24-2-70, 24-1-59;24-2-70;sanatshmakovka@mail.ru;;федеральное государственное учреждение;https://sanatoria.ru/san.php?org=14
15;Санаторий «Удельная»;;;140140, Московская обл., Раменский район, пос. Удельная, ул. Кривоколенная, 42;http://sanatoriyudelnaya.ru/;+7 (495) 902-69-05, +7 (800) 100-35-45;;zakaz@udelnaya.com;Бодрова Людмила Николаевна;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=15
16;Санаторий-профилакторий «Радуга» ОАО «РЖД»;Приморский край г. Уссурийск ул.Попова;;692510, Приморский край г. Уссурийск ул.Попова, 33;;+7 (4234) 36-42-93, 34-46-28;36-56-44;;Жуков Николай Геннадьевич;ОАО;https://sanatoria.ru/san.php?org=16
17;Пансионат с лечением «Пахра»;Московская область;;142144, Московская область, Подольский район, п/о Щапово, пансионат «Пахра»;;+7 (495) 996-83-33, 659-43-48;996-59-84;desna@umail.ru;Коваленко Петр Иванович;ГУ;https://sanatoria.ru/san.php?org=17
18;ФГУ «Объединенный санаторий и дом отдыха „Десна“»;;;142793, Московская обл., Ленинский р-н, п/о Ватутинки, ФГУ ОСДО «Десна»;http://desna-udp.ru/;+7 (495) 659-43-93, 659-43-48;659-42-00;info@desna-udp.ru;Торохов Александр Иванович;ФГУ;https://sanatoria.ru/san.php?org=18
19;Санаторий «Кубань»;Краснодарский край;Анапа;353440, Краснодарский край, г. Анапа, ул. Пушкина, д. 30;http://www.anapa-kuban.ru/;+7 (86133) 5-26-48, 4-61-09;5-42-26;kubananapa@mail.ru;Стремоусов Сергей Георгиевич;закрытое акционерное общество;https://sanatoria.ru/san.php?org=19
20;Санаторий «Зеленый городок» Ивановская область;;;153535, Ивановская обл., Ивановский р-н, поселок Ломы;http://zelgorodok.ru/;+7 (4932) 31-47-18, 31-47-35;;zel-gorodok@bk.ru;Попова Наталья Юрьевна;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=20
21;Санаторий им.;Ставропольский край;Пятигорск;357500, Ставропольский край, г. Пятигорск, бульвар Гагарина, 39;http://www.kirova-kmv.ru/;+7 (8793) 33-83-21, 36-34-91;33-83-21;bron@kirova-kmv.ru;Ушаков Сергей Васильевич;федеральное государственное бюджетное учреждение здравоохранения;https://sanatoria.ru/san.php?org=21
22;Санаторий «Дубрава»;Орловская область;;302530, Орловская область, Орловский р-он, д. Жилина;http://dubravaorel.ru/;+7 (4862) 43-30-09, 42-40-05;42-26-82;dubrava@orel.ru;Гадецкий Олег Борисович;Государственное унитарное предприятие Орловской области;https://sanatoria.ru/san.php?org=22
23;Санаторий «Красноярское Загорье»;Красноярский край;;662355, Красноярский край, Балахтинский р-н, с. Кожаны, здание 39;http://zagorie.ru/;+7 (39148) 37-5-71, 37-19-7;;zagorie@zagorie.ru;Сластина Татьяна Викторовна;акционерное общество;https://sanatoria.ru/san.php?org=23
24;Санаторий-профилакторий «Орбита»;;Курчатов;307250, Курская обл., г. Курчатов, ул. Сосновая, 2;;+7 (47131) 4-88-88, 5-43-91;4-88-88;;Лысенко Николай Васильевич;ГУ;https://sanatoria.ru/san.php?org=24
25;ООО «Санаторий „Одиссея“»;Краснодарский край;Сочи;354200, Россия, Краснодарский край, г. Сочи, Л -200, ул. Сочинское шоссе, 28;http://www.odisseya.com/;+7 (8622) 79-13-08, 79-10-50, 72–12–17;72-11-01;odisseya@odisseya.ru;Михайлов Анатолий Владимирович;ООО;https://sanatoria.ru/san.php?org=25
